2026-03-30 21:49:12,703 | listener_started | / | ['0.0.0.0, 9001']
2026-04-02 15:55:35,529 | recv | /adm/obj/1/xyz | [-1.0, -0.7859782576560974, -1.0]
2026-04-02 15:55:36,939 | recv | /reward | [0.4106644093990326]
2026-04-02 15:55:36,942 | recv | /adm/obj/101/xyz | [0.32241055369377136, -0.22736835479736328, 0.0]
2026-04-02 15:55:36,951 | send | /adm/obj/1/xyz | [-0.679221510887146, -1.0, 0.12706424295902252]
2026-04-02 15:55:36,961 | recv | /adm/obj/1/xyz | [-0.679221510887146, -1.0, 0.12706424295902252]
2026-04-02 15:55:38,064 | recv | /reward | [0.3567093312740326]
2026-04-02 15:55:38,065 | recv | /adm/obj/101/xyz | [0.3600914776325226, 0.03369491919875145, 0.0]
2026-04-02 15:55:38,083 | send | /adm/obj/1/xyz | [-1.0, 1.0, 1.0]
2026-04-02 15:55:38,093 | recv | /adm/obj/1/xyz | [-1.0, 1.0, 1.0]
2026-04-02 15:55:39,086 | recv | /reward | [-0.3263961374759674]
2026-04-02 15:55:39,087 | recv | /adm/obj/101/xyz | [0.12777164578437805, -0.2223764955997467, 0.0]
2026-04-02 15:55:39,101 | send | /adm/obj/1/xyz | [0.6929795742034912, -1.0, 1.0]
2026-04-02 15:55:39,111 | recv | /adm/obj/1/xyz | [0.6929795742034912, -1.0, 1.0]
2026-04-02 15:55:40,017 | recv | /reward | [0.2910355031490326]
2026-04-02 15:55:40,019 | recv | /adm/obj/101/xyz | [0.18612009286880493, -0.38042357563972473, 0.0]
2026-04-02 15:55:40,032 | send | /adm/obj/1/xyz | [-1.0, -0.7842676639556885, 1.0]
2026-04-02 15:55:40,041 | recv | /adm/obj/1/xyz | [-1.0, -0.7842676639556885, 1.0]
2026-04-02 15:55:43,384 | recv | /reward | [-0.3793746531009674]
2026-04-02 15:55:43,387 | recv | /adm/obj/101/xyz | [0.3811996281147003, -0.38619178533554077, 0.0]
2026-04-02 15:55:43,395 | send | /adm/obj/1/xyz | [-0.11865513771772385, 1.0, 0.7205057740211487]
2026-04-02 15:55:43,404 | recv | /adm/obj/1/xyz | [-0.11865513771772385, 1.0, 0.7205057740211487]
2026-04-02 15:55:44,822 | recv | /reward | [-0.4189254343509674]
2026-04-02 15:55:44,825 | recv | /adm/obj/101/xyz | [0.1963433474302292, -0.3302542567253113, 0.0]
2026-04-02 15:55:44,834 | send | /adm/obj/1/xyz | [-1.0, 0.47800126671791077, -1.0]
2026-04-02 15:55:44,841 | recv | /adm/obj/1/xyz | [-1.0, 0.47800126671791077, -1.0]
2026-04-02 15:55:45,844 | recv | /reward | [0.2844437062740326]
2026-04-02 15:55:45,845 | recv | /adm/obj/101/xyz | [0.33109211921691895, -0.27364736795425415, 0.0]
2026-04-02 15:55:45,860 | send | /adm/obj/1/xyz | [-0.6368358731269836, 0.828416645526886, 0.925682783126831]
2026-04-02 15:55:45,887 | recv | /adm/obj/1/xyz | [-0.6368358731269836, 0.828416645526886, 0.925682783126831]
2026-04-02 15:55:46,768 | recv | /reward | [-0.540995717048645]
2026-04-02 15:55:46,769 | recv | /adm/obj/101/xyz | [0.3432854115962982, 0.13543744385242462, 0.0]
2026-04-02 15:55:46,780 | send | /adm/obj/1/xyz | [0.18950584530830383, -0.1327275186777115, -1.0]
2026-04-02 15:55:46,788 | recv | /adm/obj/1/xyz | [0.18950584530830383, -0.1327275186777115, -1.0]
2026-04-02 15:55:47,691 | recv | /reward | [0.2683304250240326]
2026-04-02 15:55:47,693 | recv | /adm/obj/101/xyz | [0.014543293975293636, -0.020297493785619736, 0.0]
2026-04-02 15:55:47,702 | send | /adm/obj/1/xyz | [0.9600329995155334, -0.7829598188400269, -1.0]
2026-04-02 15:55:47,712 | recv | /adm/obj/1/xyz | [0.9600329995155334, -0.7829598188400269, -1.0]
2026-04-02 15:55:48,713 | recv | /reward | [0.1943558305501938]
2026-04-02 15:55:48,715 | recv | /adm/obj/101/xyz | [0.010773351415991783, -0.38618776202201843, 0.0]
2026-04-02 15:55:48,727 | send | /adm/obj/1/xyz | [-0.29270830750465393, 0.47495365142822266, -0.05147797241806984]
2026-04-02 15:55:48,736 | recv | /adm/obj/1/xyz | [-0.29270830750465393, 0.47495365142822266, -0.05147797241806984]
2026-04-02 15:55:49,535 | recv | /reward | [0.786641001701355]
2026-04-02 15:55:49,537 | recv | /adm/obj/101/xyz | [0.11456938832998276, -0.03146453574299812, 0.0]
2026-04-02 15:55:49,547 | send | /adm/obj/1/xyz | [1.0, 0.770201563835144, 0.25826695561408997]
2026-04-02 15:55:49,562 | recv | /adm/obj/1/xyz | [1.0, 0.770201563835144, 0.25826695561408997]
2026-04-02 15:55:50,847 | recv | /reward | [0.07912145555019379]
